generation (MWh),year,state
6744717.0,2001,AK
129534476.58,2001,AL
48704033.41,2001,AR
89950709.0,2001,AZ
220225688.26,2001,CA
46988846.0,2001,CO
31399569.46,2001,CT
6807685.0,2001,DE
194735100.15,2001,FL
121319542.30000001,2001,GA
11129514.369999997,2001,HI
41250123.25,2001,IA
9880277.0,2001,ID
179927851.49,2001,IL
122684250.3,2001,IN
44788354.0,2001,KS
95427178.0,2001,KY
90598668.34999998,2001,LA
39791217.86,2001,MA
49435357.46,2001,MD
23390545.740000002,2001,ME
114207273.86,2001,MI
50500335.6,2001,MN
79553669.91,2001,MO
54878564.53,2001,MS
24297912.0,2001,MT
119247140.71000001,2001,NC
30339737.0,2001,ND
30504506.0,2001,NE
16100244.58,2001,NH
60264892.09,2001,NJ
33630295.0,2001,NM
35075839.0,2001,NV
145715628.26,2001,NY
142692770.0,2001,OH
55480149.0,2001,OK
45891433.56,2001,OR
198472785.72,2001,PA
7605508.0,2001,RI
90053143.6,2001,SC
7401614.0,2001,SD
97044001.15,2001,TN
374760949.96,2001,TX
36011987.94,2001,UT
75851819.99000001,2001,VA
5863155.0,2001,VT
84270001.36,2001,WA
59865644.24,2001,WI
81852252.23,2001,WV
45142097.0,2001,WY
6779477.0,2002,AK
136666570.0,2002,AL
49196907.0,2002,AR
94185467.0,2002,AZ
207617017.24,2002,CA
45769227.0,2002,CO
32132565.73,2002,CT
6002490.0,2002,DE
207092559.1,2002,FL
132893648.4,2002,GA
12033995.0,2002,HI
43545554.0,2002,IA
10295235.0,2002,ID
188777964.19,2002,IL
125724090.43,2002,IN
47655124.0,2002,KS
92472134.0,2002,KY
97781443.0,2002,LA
43299968.06,2002,MA
48800713.83,2002,MD
26578566.66,2002,ME
120109094.62,2002,MI
54564649.129999995,2002,MN
81170899.0,2002,MO
43825404.0,2002,MS
25537175.0,2002,MT
126254280.03,2002,NC
31306717.0,2002,ND
31639561.0,2002,NE
16818029.88,2002,NH
62416585.76,2002,NJ
30681114.0,2002,NM
33216221.0,2002,NV
141399355.20999998,2002,NY
147220154.0,2002,OH
59422465.0,2002,OK
48148157.92,2002,OR
206385368.94,2002,PA
7154516.0,2002,RI
97807916.0,2002,SC
7728001.0,2002,SD
96914493.71000001,2002,TN
389603791.21000004,2002,TX
36831926.32,2002,UT
77076923.37,2002,VA
5822162.0,2002,VT
104489213.12,2002,WA
59447029.64000001,2002,WI
94776355.0,2002,WV
44231170.0,2002,WY
6344514.0,2003,AK
141160086.0,2003,AL
52244990.0,2003,AR
94441884.0,2003,AZ
216867261.53,2003,CA
46795368.0,2003,CO
30330914.17,2003,CT
7392285.0,2003,DE
217084102.76,2003,FL
127250108.58,2003,GA
11503403.549999999,2003,HI
43212330.95,2003,IA
10963887.0,2003,ID
189874209.4,2003,IL
125007352.15,2003,IN
46933500.0,2003,KS
92018058.0,2003,KY
97963341.72000001,2003,LA
49638147.65,2003,MA
52840288.92,2003,MD
22557644.049999997,2003,ME
113844756.27999999,2003,MI
57171620.61,2003,MN
87233566.17,2003,MO
41170454.00000001,2003,MS
26339895.0,2003,MT
129558037.41,2003,NC
31381607.0,2003,ND
30550648.0,2003,NE
22393005.66,2003,NH
58306124.43,2003,NJ
32918389.0,2003,NM
34260599.0,2003,NV
139378820.51999998,2003,NY
147078843.0,2003,OH
60948451.0,2003,OK
50048737.68,2003,OR
208447133.81,2003,PA
5722911.0,2003,RI
95068620.67,2003,SC
7988086.0,2003,SD
93051628.5,2003,TN
383165425.0,2003,TX
38227211.56,2003,UT
77570779.07,2003,VA
6433097.0,2003,VT
102222996.35,2003,WA
61348152.04,2003,WI
94885518.0,2003,WV
43993082.0,2003,WY
6535933.429999999,2004,AK
141134003.83999997,2004,AL
53738012.040000014,2004,AR
104616670.63999999,2004,AZ
219322144.35999992,2004,CA
48124613.32000004,2004,CO
33391226.510000013,2004,CT
7855552.579999999,2004,DE
222619499.14,2004,FL
130004453.74000004,2004,GA
11960017.15,2004,HI
44404066.06999999,2004,IA
11423318.639999997,2004,ID
192779777.61999997,2004,IL
127907765.59999996,2004,IN
47141291.24000001,2004,KS
94940964.72000004,2004,KY
101138699.58999997,2004,LA
48730382.95000001,2004,MA
52641977.400000006,2004,MD
22696922.17999998,2004,ME
121045717.71999995,2004,MI
54161176.84000003,2004,MN
87642544.72000006,2004,MO
45177059.04000002,2004,MS
26851213.84000002,2004,MT
128062758.56000002,2004,NC
30156231.720000014,2004,ND
32086657.419999976,2004,NE
24759037.689999998,2004,NH
56688173.14000001,2004,NJ
33453825.610000014,2004,NM
38964939.47000003,2004,NV
139876470.19999996,2004,NY
148773682.51000005,2004,OH
61552179.910000004,2004,OK
52496381.53999993,2004,OR
216934153.88,2004,PA
5040946.000000006,2004,RI
99703107.75,2004,SC
7667892.0200000005,2004,SD
98424470.60999992,2004,TN
394545819.8400003,2004,TX
38410674.949999996,2004,UT
81332396.88,2004,VA
5874457.170000002,2004,VT
104476476.85000002,2004,WA
61558572.81000002,2004,WI
89912823.72999994,2004,WV
45424119.48000003,2004,WY
6582503.11,2005,AK
141595383.00999993,2005,AL
49530032.22000001,2005,AR
101566229.8600001,2005,AZ
224483778.5300001,2005,CA
50427254.879999995,2005,CO
34303081.46999998,2005,CT
8136568.110000001,2005,DE
224583608.19,2005,FL
139939780.29,2005,GA
12060774.019999998,2005,HI
45920136.31,2005,IA
11384614.92,2005,ID
194903027.05999985,2005,IL
130439264.69000004,2005,IN
46288518.85000001,2005,KS
98243831.04999998,2005,KY
95503645.84000003,2005,LA
48773758.14000001,2005,MA
53284965.16000005,2005,MD
22912166.75000001,2005,ME
124114094.18999995,2005,MI
55671102.85999998,2005,MN
90836828.04,2005,MO
46589150.33000001,2005,MS
28010389.460000005,2005,MT
131555725.86999997,2005,NC
32162949.500000004,2005,ND
31603987.449999996,2005,NE
25411909.89999999,2005,NH
61424488.20000001,2005,NJ
35934919.219999984,2005,NM
41476458.84999999,2005,NV
148875867.41,2005,NY
157421910.94000012,2005,OH
69744848.5,2005,OK
50925514.469999984,2005,OR
220420433.21999994,2005,PA
6053294.08,2005,RI
104328305.13999996,2005,SC
6678872.989999999,2005,SD
97883250.56999993,2005,TN
402004333.80999976,2005,TX
38353881.340000026,2005,UT
81440940.32999995,2005,VA
6138731.82,2005,VT
104079511.59000002,2005,WA
63006316.85999998,2005,WI
93780890.32000001,2005,WV
46284570.96000002,2005,WY
6681649.32,2006,AK
144779903.05999997,2006,AL
53891507.979999974,2006,AR
104459229.66999996,2006,AZ
241208655.59000006,2006,CA
51594580.66999999,2006,CO
35445056.49,2006,CT
7182596.36,2006,DE
